test_id,rate_hz,seq,station_id,sent_at,elapsed_s,generation_delta_time,payload_bytes,raw_hex,tx_ok,tx_ack,tx_latency_ms,serial_error
2720,1,1,2852126721,2026-07-14T14:46:02.741915+00:00,0.000380,56053,41,0202aa000001daf5005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.351,
2720,1,2,2852126722,2026-07-14T14:46:09.392220+00:00,6.650600,62704,41,0202aa000002f4f0005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.436,
2720,1,3,2852126723,2026-07-14T14:46:09.893188+00:00,7.151561,63205,41,0202aa000003f6e5005a5811460e29efbf1ffffffc2246cd1e00000fc0007ebfe9ed0737feebfff600,0,,500.333,
